,time,sex,vegan,rest,games,series,books,english,old_days,child_offence_no,child_offence_infrequently,child_offence_often,dvach_best_bord,dvach_doesn't_know,dvach_hate_abu,dvach_vk_pub,gender_other,gender_bi,gender_hetero,antisemetism_yes,antisemetism_no,antisemetism_afraid,subject_literature,subject_math,subject_IT,subject_history,subject_foreign_languages,subject_physics,subject_biology,subject_chemistry,crimea_neutral,crimea_no,crimea_yes,putin_good,rebel,films_action,films_detective,films_anime,films_drama,films_comedy,films_melodrama,films_historical,films_tragedy,films_horror,films_fantasy
28,2019-09-06 23:51:35,0,0,0,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0
29,2019-09-06 23:52:05,0,0,0,5,0,3,5,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
30,2019-09-06 23:52:20,1,2,0,3,5,1,4,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0
31,2019-09-06 23:53:23,1,4,0,0,3,6,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1
32,2019-09-06 23:54:36,0,0,0,7,0,0,4,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
33,2019-09-06 23:57:23,0,0,0,0,3,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1
34,2019-09-06 23:57:38,0,1,0,4,3,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1
35,2019-09-06 23:59:58,0,1,0,5,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
36,2019-10-06 00:00:05,1,1,0,0,3,5,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0
37,2019-10-06 00:00:17,0,1,0,7,3,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1
38,2019-10-06 00:00:22,0,2,0,7,5,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
39,2019-10-06 00:00:52,0,1,0,2,0,2,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
40,2019-10-06 00:01:37,0,3,0,5,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
41,2019-10-06 00:04:43,0,1,0,7,2,7,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
42,2019-10-06 00:05:28,0,0,0,3,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
43,2019-10-06 00:08:17,1,3,0,0,2,1,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0
44,2019-10-06 00:10:48,0,4,0,7,1,4,3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
45,2019-10-06 00:11:34,0,1,0,2,7,4,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1
46,2019-10-06 00:13:20,0,0,0,3,5,0,2,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1
47,2019-10-06 00:14:34,0,3,0,5,7,2,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1
48,2019-10-06 00:17:25,1,2,0,0,5,3,4,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1
49,2019-10-06 00:20:01,0,1,0,5,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
50,2019-10-06 00:37:22,0,0,0,7,5,7,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1
